slug,period
cementos_moctezuma,2024-1T
cementos_moctezuma,2024-2T
cementos_moctezuma,2024-3T
cementos_moctezuma,2024-4T
cementos_moctezuma,2025-1T
cementos_moctezuma,2025-2T
cementos_moctezuma,2025-3T
cementos_moctezuma,2025-4T
cementos_moctezuma,2026-1T
cemex,2021-2T
cemex,2021-3T
cemex,2021-4T
cemex,2022-1T
cemex,2022-2T
cemex,2022-3T
cemex,2022-4T
cemex,2023-1T
cemex,2023-2T
cemex,2023-3T
cemex,2023-4T
cemex,2024-1T
cemex,2024-2T
cemex,2024-3T
cemex,2024-4T
cemex,2025-1T
cemex,2025-2T
cemex,2025-3T
cemex,2025-4T
cemex,2026-1T
chedraui,2021-2T
chedraui,2021-3T
chedraui,2021-4T
chedraui,2022-1T
chedraui,2022-2T
chedraui,2022-3T
chedraui,2022-4T
chedraui,2023-1T
chedraui,2023-2T
chedraui,2023-3T
chedraui,2023-4T
chedraui,2024-1T
chedraui,2024-2T
chedraui,2024-3T
chedraui,2024-4T
chedraui,2025-1T
chedraui,2025-2T
chedraui,2025-3T
chedraui,2025-4T
chedraui,2026-1T
cidmega,2021-2T
cidmega,2021-3T
cidmega,2021-4T
cidmega,2022-1T
cidmega,2022-2T
cidmega,2022-3T
cidmega,2022-4T
cidmega,2023-1T
cidmega,2023-2T
cidmega,2023-3T
cidmega,2023-4T
cidmega,2024-1T
cidmega,2024-2T
cidmega,2024-3T
cidmega,2024-4T
cidmega,2025-1T
cidmega,2025-2T
cidmega,2025-3T
cidmega,2025-4T
cidmega,2026-1T
cie,2021-2T
cie,2021-3T
cie,2021-4T
cie,2022-1T
cie,2022-2T
cie,2022-3T
cie,2022-4T
cie,2023-1T
cie,2023-2T
cie,2023-3T
cie,2023-4T
cie,2024-1T
cie,2024-2T
cie,2024-3T
cie,2024-4T
cie,2025-1T
cie,2025-2T
cie,2025-3T
cie,2025-4T
cie,2026-1T
club_america,2024-1T
club_america,2024-2T
club_america,2024-3T
club_america,2024-4T
club_america,2025-1T
club_america,2025-2T
club_america,2025-3T
club_america,2025-4T
club_america,2026-1T
cmr,2021-2T
cmr,2021-3T
cmr,2021-4T
cmr,2022-1T
cmr,2022-2T
cmr,2022-3T
cmr,2022-4T
cmr,2023-1T
cmr,2023-2T
cmr,2023-3T
cmr,2023-4T
cmr,2024-1T
cmr,2024-2T
cmr,2024-3T
cmr,2024-4T
cmr,2025-1T
cmr,2025-2T
cmr,2025-3T
cmr,2025-4T
cmr,2026-1T
consorcio_ara,2021-2T
consorcio_ara,2021-3T
consorcio_ara,2021-4T
consorcio_ara,2022-1T
consorcio_ara,2022-2T
consorcio_ara,2022-3T
consorcio_ara,2022-4T
consorcio_ara,2023-1T
consorcio_ara,2023-2T
consorcio_ara,2023-3T
consorcio_ara,2023-4T
consorcio_ara,2024-1T
consorcio_ara,2024-2T
consorcio_ara,2024-3T
consorcio_ara,2024-4T
consorcio_ara,2025-1T
consorcio_ara,2025-2T
consorcio_ara,2025-3T
consorcio_ara,2025-4T
consorcio_ara,2026-1T
convertidora,2021-2T
convertidora,2021-3T
convertidora,2021-4T
convertidora,2022-1T
convertidora,2022-2T
convertidora,2022-3T
convertidora,2022-4T
convertidora,2023-1T
convertidora,2023-2T
convertidora,2023-3T
convertidora,2023-4T
convertidora,2024-1T
convertidora,2024-2T
convertidora,2024-3T
convertidora,2024-4T
convertidora,2025-1T
convertidora,2025-2T
convertidora,2025-3T
convertidora,2025-4T
convertidora,2026-1T
corporativo_fragua,2021-2T
corporativo_fragua,2021-3T
corporativo_fragua,2021-4T
corporativo_fragua,2022-1T
corporativo_fragua,2022-2T
corporativo_fragua,2022-3T
corporativo_fragua,2022-4T
corporativo_fragua,2023-1T
corporativo_fragua,2023-2T
corporativo_fragua,2023-3T
corporativo_fragua,2023-4T
corporativo_fragua,2024-1T
corporativo_fragua,2024-2T
corporativo_fragua,2024-3T
corporativo_fragua,2024-4T
corporativo_fragua,2025-1T
corporativo_fragua,2025-2T
corporativo_fragua,2025-3T
corporativo_fragua,2025-4T
corporativo_fragua,2026-1T
ct_axtel,2023-2T
ct_axtel,2023-3T
ct_axtel,2023-4T
ct_axtel,2024-1T
ct_axtel,2024-2T
ct_axtel,2024-3T
ct_axtel,2024-4T
ct_axtel,2025-1T
ct_axtel,2025-2T
ct_axtel,2025-3T
ct_axtel,2025-4T
ct_axtel,2026-1T
cultiba,2021-2T
cultiba,2021-3T
cultiba,2021-4T
cultiba,2022-1T
cultiba,2022-2T
cultiba,2022-3T
cultiba,2022-4T
cultiba,2023-1T
cultiba,2023-2T
cultiba,2023-3T
cultiba,2023-4T
cultiba,2024-1T
cultiba,2024-2T
cultiba,2024-3T
cultiba,2024-4T
cultiba,2025-1T
cultiba,2025-2T
cultiba,2025-3T
cultiba,2025-4T
cultiba,2026-1T
cydsa,2021-2T
cydsa,2021-3T
cydsa,2021-4T
cydsa,2022-1T
cydsa,2022-2T
cydsa,2022-3T
cydsa,2022-4T
cydsa,2023-1T
cydsa,2023-2T
cydsa,2023-3T
cydsa,2023-4T
cydsa,2024-1T
cydsa,2024-2T
cydsa,2024-3T
cydsa,2024-4T
cydsa,2025-1T
cydsa,2025-2T
cydsa,2025-3T
cydsa,2025-4T
cydsa,2026-1T
diablos_rojos,2025-2T
dine,2021-2T
dine,2021-3T
dine,2021-4T
dine,2022-1T
dine,2022-2T
dine,2022-3T
dine,2022-4T
dine,2023-1T
dine,2023-2T
dine,2023-3T
dine,2023-4T
dine,2024-1T
dine,2024-2T
dine,2024-3T
dine,2024-4T
dine,2025-1T
dine,2025-2T
dine,2025-3T
dine,2025-4T
dine,2026-1T
elementia_materiales,2021-3T
elementia_materiales,2021-4T
elementia_materiales,2022-1T
elementia_materiales,2022-2T
elementia_materiales,2023-3T
elementia_materiales,2023-4T
elementia_materiales,2024-1T
elementia_materiales,2024-2T
elementia_materiales,2024-3T
elementia_materiales,2024-4T
elementia_materiales,2025-1T
elementia_materiales,2025-2T
elementia_materiales,2025-3T
elementia_materiales,2025-4T
elementia_materiales,2026-1T
esentia,2025-4T
esentia,2026-1T
farmacias_benavides,2021-2T
farmacias_benavides,2021-3T
farmacias_benavides,2021-4T
farmacias_benavides,2022-1T
farmacias_benavides,2022-2T
farmacias_benavides,2022-3T
farmacias_benavides,2022-4T
farmacias_benavides,2023-1T
farmacias_benavides,2023-2T
farmacias_benavides,2023-3T
farmacias_benavides,2023-4T
farmacias_benavides,2024-1T
farmacias_benavides,2024-2T
farmacias_benavides,2024-3T
farmacias_benavides,2024-4T
farmacias_benavides,2025-1T
farmacias_benavides,2025-2T
farmacias_benavides,2025-3T
farmacias_benavides,2025-4T
farmacias_benavides,2026-1T
femsa,2021-2T
femsa,2021-3T
femsa,2021-4T
femsa,2022-1T
femsa,2022-2T
femsa,2022-3T
femsa,2022-4T
femsa,2023-1T
femsa,2023-2T
femsa,2023-3T
femsa,2023-4T
femsa,2024-1T
femsa,2024-2T
femsa,2024-3T
femsa,2024-4T
femsa,2025-1T
femsa,2025-2T
femsa,2025-3T
femsa,2025-4T
femsa,2026-1T
fibra_cfe,2021-2T
fibra_cfe,2021-3T
fibra_cfe,2021-4T
fibra_cfe,2022-1T
fibra_cfe,2022-2T
fibra_cfe,2022-3T
fibra_cfe,2022-4T
fibra_cfe,2023-1T
fibra_cfe,2023-2T
fibra_cfe,2023-3T
fibra_cfe,2023-4T
fibra_cfe,2024-1T
fibra_cfe,2024-2T
fibra_cfe,2024-3T
fibra_cfe,2024-4T
fibra_cfe,2025-1T
fibra_cfe,2025-2T
fibra_cfe,2025-3T
fibra_cfe,2025-4T
fibra_cfe,2026-1T
fibra_danhos,2019-1T
fibra_danhos,2019-2T
fibra_danhos,2019-3T
fibra_danhos,2019-4T
fibra_danhos,2020-1T
fibra_danhos,2020-2T
fibra_danhos,2020-3T
fibra_danhos,2020-4T
fibra_danhos,2021-2T
fibra_danhos,2021-3T
fibra_danhos,2021-4T
fibra_danhos,2022-1T
fibra_danhos,2022-2T
fibra_danhos,2022-3T
fibra_danhos,2022-4T
fibra_danhos,2023-1T
fibra_danhos,2023-2T
fibra_danhos,2023-3T
fibra_danhos,2023-4T
fibra_danhos,2024-1T
fibra_danhos,2024-2T
fibra_danhos,2024-3T
fibra_danhos,2024-4T
fibra_danhos,2025-1T
fibra_danhos,2025-2T
fibra_danhos,2025-3T
fibra_danhos,2025-4T
